axis,id,time_ms,time_s,encoder,pulses,delta_t_s,vel_cmd_sps,vel_enc_sps
1,11,13,0.013000,20,21,0.013000000,1538.462,1461.538
1,12,14,0.014000,22,25,0.013000000,1769.231,1538.462
1,13,16,0.016000,24,29,0.013000000,2000.000,1538.462
1,14,17,0.017000,27,34,0.013000000,2230.769,1615.385
1,15,19,0.019000,32,38,0.013000000,2384.615,2000.000
1,16,20,0.020000,36,43,0.013000000,2615.385,2153.846
1,17,22,0.022000,39,48,0.014000000,2571.429,2071.429
1,18,24,0.024000,40,54,0.014000000,2785.714,1928.571
1,19,25,0.025000,44,60,0.014000000,3000.000,2000.000
1,20,27,0.027000,52,66,0.014000000,3214.286,2285.714
1,21,28,0.028000,60,72,0.014000000,3357.143,2714.286
1,22,30,0.030000,64,78,0.014000000,3500.000,2857.143
1,23,31,0.031000,68,85,0.014000000,3642.857,2928.571
1,24,33,0.033000,74,92,0.014000000,3857.143,3000.000
1,25,34,0.034000,74,100,0.014000000,4071.429,2714.286
1,27,36,0.036000,86,108,0.014000000,4285.714,3357.143
1,28,38,0.038000,90,116,0.014000000,4428.571,3571.429
1,29,39,0.039000,94,124,0.014000000,4571.429,3571.429
1,30,41,0.041000,102,132,0.014000000,4714.286,3571.429
1,31,42,0.042000,113,141,0.014000000,4928.571,3785.714
1,32,44,0.044000,122,151,0.014000000,5214.286,4142.857
1,33,46,0.046000,127,160,0.015000000,5000.000,3933.333
1,34,47,0.047000,132,170,0.014000000,5571.429,4142.857
1,35,49,0.049000,141,180,0.015000000,5333.333,4466.667
1,36,51,0.051000,149,191,0.015000000,5533.333,4200.000
1,37,52,0.052000,149,200,0.014000000,6000.000,4214.286
1,39,54,0.054000,167,212,0.015000000,5866.667,4866.667
1,40,55,0.055000,176,224,0.014000000,6571.429,5285.714
1,41,57,0.057000,186,235,0.015000000,6266.667,4866.667
1,42,59,0.059000,193,246,0.015000000,6333.333,4733.333
1,43,60,0.060000,200,257,0.014000000,6928.571,5214.286
1,44,62,0.062000,209,268,0.015000000,6533.333,5133.333
