axis,id,time_ms,time_s,encoder,pulses,delta_t_s,vel_cmd_sps,vel_enc_sps
0,11,13,0.013000,71,21,0.013000000,1538.462,4000.000
0,12,14,0.014000,70,25,0.012000000,1916.667,2333.333
0,13,15,0.015000,74,29,0.012000000,2083.333,1416.667
0,14,17,0.017000,78,33,0.013000000,2153.846,615.385
0,15,18,0.018000,82,37,0.012000000,2500.000,666.667
0,16,20,0.020000,84,42,0.013000000,2461.538,1076.923
0,17,21,0.021000,85,47,0.013000000,2692.308,1153.846
0,18,23,0.023000,86,52,0.013000000,2846.154,1153.846
0,19,24,0.024000,84,58,0.013000000,3076.923,923.077
0,20,26,0.026000,75,64,0.013000000,3307.692,307.692
0,21,27,0.027000,70,70,0.013000000,3461.538,0.000
0,22,29,0.029000,68,76,0.014000000,3357.143,-428.571
0,23,30,0.030000,69,83,0.013000000,3846.154,-692.308
0,24,32,0.032000,67,89,0.014000000,3714.286,-1071.429
0,25,33,0.033000,61,96,0.013000000,4153.846,-1769.231
0,26,34,0.034000,61,100,0.013000000,4076.923,-1846.154
0,27,35,0.035000,55,104,0.012000000,4333.333,-2583.333
0,28,36,0.036000,54,112,0.012000000,4500.000,-2500.000
0,29,38,0.038000,55,120,0.012000000,4666.667,-1666.667
0,30,39,0.039000,53,128,0.012000000,4833.333,-1416.667
0,31,41,0.041000,48,136,0.012000000,5000.000,-1666.667
0,32,42,0.042000,44,145,0.012000000,5166.667,-2083.333
0,33,44,0.044000,41,154,0.012000000,5416.667,-2166.667
0,34,45,0.045000,41,163,0.012000000,5583.333,-1666.667
0,35,47,0.047000,38,173,0.013000000,5615.385,-1769.231
0,36,48,0.048000,33,182,0.013000000,6000.000,-1692.308
0,37,50,0.050000,29,192,0.014000000,5714.286,-1785.714
0,38,51,0.051000,29,200,0.013000000,6153.846,-2000.000
0,40,53,0.053000,24,213,0.014000000,6071.429,-2071.429
0,41,54,0.054000,20,224,0.013000000,6769.231,-2153.846
0,42,56,0.056000,16,234,0.014000000,6357.143,-2000.000
0,43,57,0.057000,15,244,0.013000000,6923.077,-2000.000
0,44,59,0.059000,10,255,0.014000000,6571.429,-2214.286
0,45,60,0.060000,7,265,0.013000000,7076.923,-2384.615
0,46,62,0.062000,4,276,0.014000000,6714.286,-2071.429
0,47,63,0.063000,2,286,0.013000000,7230.769,-2076.923
0,48,65,0.065000,2,296,0.014000000,6857.143,-1928.571
0,50,66,0.066000,7,307,0.013000000,7230.769,-1307.692
0,51,68,0.068000,10,317,0.014000000,6642.857,-714.286
0,52,69,0.069000,13,328,0.013000000,7230.769,-230.769
0,53,71,0.071000,17,338,0.014000000,6714.286,142.857
0,54,72,0.072000,21,349,0.013000000,7230.769,846.154
0,55,74,0.074000,26,359,0.014000000,6714.286,1357.143
0,56,76,0.076000,30,370,0.014000000,6714.286,1857.143
0,57,77,0.077000,34,380,0.014000000,6714.286,2285.714
0,58,79,0.079000,39,391,0.014000000,6785.714,2642.857
0,59,80,0.080000,39,400,0.014000000,6642.857,2285.714
0,61,82,0.082000,48,412,0.014000000,6785.714,2714.286
0,62,83,0.083000,52,423,0.014000000,6785.714,2785.714
0,63,85,0.085000,56,433,0.014000000,6785.714,2785.714
0,64,86,0.086000,61,444,0.014000000,6785.714,2857.143
0,65,88,0.088000,65,454,0.014000000,6785.714,2785.714
0,66,89,0.089000,69,465,0.013000000,7307.692,3000.000
0,67,91,0.091000,73,475,0.014000000,6785.714,2785.714
0,68,92,0.092000,77,486,0.013000000,7307.692,2923.077
0,71,96,0.096000,87,507,0.016000000,6687.500,3000.000
0,72,97,0.097000,90,518,0.015000000,7066.667,2800.000
0,73,99,0.099000,95,528,0.016000000,6562.500,2687.500
0,74,100,0.100000,101,539,0.015000000,7066.667,3000.000
0,75,102,0.102000,106,550,0.016000000,6625.000,2812.500
0,76,103,0.103000,107,561,0.015000000,7133.333,2800.000
0,77,105,0.105000,111,572,0.016000000,6687.500,2625.000
0,78,106,0.106000,115,582,0.015000000,7133.333,2800.000
0,79,108,0.108000,120,593,0.016000000,6687.500,2687.500
0,80,109,0.109000,120,600,0.013000000,7153.846,2538.462
0,81,110,0.110000,125,604,0.013000000,6615.385,2692.308
0,82,111,0.111000,131,615,0.012000000,7250.000,3000.000
0,83,113,0.113000,135,626,0.013000000,6692.308,2615.385
0,84,114,0.114000,138,637,0.012000000,7250.000,2666.667
0,85,116,0.116000,141,648,0.013000000,6692.308,2615.385
0,86,117,0.117000,146,659,0.012000000,7250.000,2916.667
0,87,119,0.119000,151,669,0.013000000,6692.308,2769.231
0,88,121,0.121000,156,680,0.013000000,6692.308,2769.231
0,89,122,0.122000,159,691,0.013000000,7000.000,3000.000
0,90,123,0.123000,159,700,0.013000000,7384.615,2615.385
0,91,124,0.124000,164,702,0.013000000,6692.308,2538.462
0,92,125,0.125000,169,713,0.012000000,7250.000,2833.333
0,93,127,0.127000,173,724,0.013000000,6692.308,2692.308
0,94,129,0.129000,177,735,0.013000000,6692.308,2769.231
0,95,130,0.130000,182,746,0.013000000,6692.308,2769.231
0,96,132,0.132000,186,756,0.013000000,6692.308,2692.308
0,97,133,0.133000,191,767,0.012000000,7250.000,2916.667
0,98,135,0.135000,196,778,0.013000000,6692.308,2846.154
0,99,136,0.136000,200,789,0.013000000,6846.154,3153.846
0,100,138,0.138000,200,800,0.014000000,7000.000,2571.429
0,102,140,0.140000,209,811,0.015000000,6533.333,2666.667
0,103,141,0.141000,214,822,0.014000000,7000.000,2928.571
0,104,143,0.143000,217,833,0.014000000,7000.000,2857.143
0,105,144,0.144000,222,844,0.014000000,7000.000,2857.143
0,106,146,0.146000,226,855,0.014000000,7071.429,2857.143
