axis,id,time_ms,time_s,encoder,pulses,delta_t_s,vel_cmd_sps,vel_enc_sps
2,11,14,0.014000,143,23,0.014000000,1571.429,10142.857
2,12,16,0.016000,180,27,0.015000000,1666.667,11133.333
2,13,17,0.017000,201,31,0.014000000,2000.000,12214.286
2,14,19,0.019000,209,36,0.015000000,2066.667,11133.333
2,15,20,0.020000,245,41,0.014000000,2428.571,13928.571
2,16,22,0.022000,297,46,0.014000000,2571.429,16642.857
2,17,24,0.024000,326,51,0.015000000,2600.000,16200.000
2,18,25,0.025000,346,57,0.014000000,3000.000,17500.000
2,19,27,0.027000,385,64,0.015000000,3000.000,17933.333
2,20,29,0.029000,426,70,0.015000000,3133.333,18866.667
2,21,30,0.030000,468,77,0.014000000,3571.429,20571.429
2,22,32,0.032000,513,84,0.015000000,3533.333,20800.000
2,23,34,0.034000,562,91,0.015000000,3666.667,23533.333
2,26,37,0.037000,649,107,0.017000000,3882.353,23764.706
2,27,39,0.039000,700,116,0.017000000,4117.647,23705.882
2,28,41,0.041000,761,124,0.017000000,4294.118,25588.235
2,29,42,0.042000,809,133,0.017000000,4470.588,27235.294
2,30,44,0.044000,856,143,0.017000000,4647.059,27705.882
2,31,46,0.046000,926,152,0.017000000,4823.529,29411.765
2,32,48,0.048000,997,162,0.018000000,4722.222,29388.889
2,33,49,0.049000,1046,172,0.017000000,5176.471,31352.941
2,34,51,0.051000,1103,183,0.017000000,5411.765,31823.529
2,35,53,0.053000,1180,194,0.016000000,5437.500,33187.500
2,36,54,0.054000,1180,200,0.015000000,5600.000,32000.000
2,37,55,0.055000,1253,205,0.014000000,5785.714,35142.857
2,38,57,0.057000,1310,217,0.015000000,5600.000,33400.000
2,39,58,0.058000,1391,229,0.014000000,6142.857,38214.286
2,40,60,0.060000,1474,241,0.014000000,6357.143,39142.857
2,41,62,0.062000,1542,253,0.014000000,6500.000,38928.571
2,42,64,0.064000,1603,265,0.015000000,6200.000,37133.333
2,43,65,0.065000,1681,277,0.014000000,6714.286,41285.714
2,44,67,0.067000,1774,289,0.014000000,6785.714,42428.571
2,45,69,0.069000,1774,300,0.015000000,6666.667,39600.000
2,47,71,0.071000,1903,314,0.016000000,6812.500,40625.000
2,48,73,0.073000,1977,326,0.016000000,6812.500,41687.500
2,49,74,0.074000,2066,338,0.016000000,6812.500,42187.500
2,50,76,0.076000,2147,350,0.016000000,6812.500,42062.500
2,51,78,0.078000,2208,363,0.016000000,6875.000,41625.000
2,52,80,0.080000,2278,375,0.016000000,6875.000,42187.500
2,53,81,0.081000,2364,387,0.016000000,6875.000,42687.500
2,56,85,0.085000,2511,411,0.018000000,6777.778,40944.444
2,57,87,0.087000,2583,424,0.018000000,6888.889,44944.444
2,58,88,0.088000,2661,436,0.017000000,7176.471,44588.235
2,59,90,0.090000,2740,448,0.017000000,7176.471,44882.353
2,60,92,0.092000,2803,460,0.018000000,6777.778,40944.444
2,61,94,0.094000,2880,472,0.018000000,6777.778,40722.222
2,62,95,0.095000,2970,484,0.017000000,7117.647,44823.529
2,65,99,0.099000,3110,509,0.019000000,7052.632,43789.474
2,66,101,0.101000,3175,521,0.020000000,6700.000,40550.000
