axis,id,time_ms,time_s,encoder,pulses,delta_t_s,vel_cmd_sps,vel_enc_sps
0,11,13,0.013000,443,22,0.013000000,1615.385,32461.538
0,12,14,0.014000,543,25,0.012000000,1916.667,43333.333
0,13,16,0.016000,639,29,0.013000000,1923.077,48384.615
0,14,17,0.017000,734,34,0.013000000,2230.769,55615.385
0,15,19,0.019000,833,38,0.013000000,2384.615,58384.615
0,16,20,0.020000,953,43,0.013000000,2538.462,62230.769
0,17,22,0.022000,1084,48,0.013000000,2769.231,66923.077
0,18,23,0.023000,1215,54,0.013000000,3000.000,71923.077
0,19,25,0.025000,1345,59,0.014000000,2928.571,71000.000
0,20,26,0.026000,1503,65,0.013000000,3307.692,81538.462
0,21,28,0.028000,1680,72,0.014000000,3357.143,81214.286
0,22,29,0.029000,1854,78,0.013000000,3769.231,93461.538
0,23,31,0.031000,2024,85,0.014000000,3642.857,92142.857
0,24,32,0.032000,2190,92,0.013000000,4153.846,104384.615
0,26,34,0.034000,2361,100,0.014000000,4071.429,100571.429
0,27,36,0.036000,2593,107,0.014000000,4214.286,107785.714
0,28,37,0.037000,2797,115,0.014000000,4357.143,113000.000
0,29,39,0.039000,2998,124,0.014000000,4642.857,118071.429
0,30,40,0.040000,3205,132,0.014000000,4785.714,121571.429
0,31,42,0.042000,3455,141,0.014000000,4928.571,126785.714
0,32,43,0.043000,3713,150,0.014000000,5142.857,132785.714
0,33,45,0.045000,3963,159,0.014000000,5285.714,138500.000
0,34,47,0.047000,4201,169,0.015000000,5133.333,134066.667
0,35,48,0.048000,4453,179,0.014000000,5642.857,149428.571
0,36,50,0.050000,4709,189,0.014000000,5857.143,151142.857
0,38,51,0.051000,4984,200,0.014000000,6071.429,156214.286
0,39,53,0.053000,5291,210,0.014000000,6142.857,163785.714
0,40,55,0.055000,5541,221,0.015000000,5933.333,155733.333
0,41,56,0.056000,5785,232,0.014000000,6500.000,166428.571
0,42,58,0.058000,6064,243,0.015000000,6200.000,156733.333
0,43,59,0.059000,6423,253,0.014000000,6714.286,175714.286
0,44,61,0.061000,6792,264,0.014000000,6785.714,185071.429
0,45,63,0.063000,7049,275,0.015000000,6400.000,173066.667
0,46,64,0.064000,7257,286,0.014000000,6928.571,182000.000
0,49,67,0.067000,7901,308,0.016000000,6750.000,182312.500
0,50,69,0.069000,8224,319,0.016000000,6812.500,183312.500
0,51,70,0.070000,8391,330,0.015000000,7266.667,190000.000
0,52,72,0.072000,8597,340,0.016000000,6750.000,175750.000
0,53,74,0.074000,8857,351,0.016000000,6750.000,174562.500
0,54,75,0.075000,9217,362,0.016000000,6812.500,174625.000
0,55,77,0.077000,9524,373,0.016000000,6812.500,170750.000
0,56,78,0.078000,9790,384,0.015000000,7266.667,182733.333
0,57,80,0.080000,9999,395,0.016000000,6812.500,171375.000
0,58,81,0.081000,9999,400,0.014000000,6571.429,149857.143
0,60,83,0.083000,10672,417,0.014000000,7000.000,174857.143
0,61,85,0.085000,10961,428,0.015000000,6533.333,171333.333
0,62,86,0.086000,11192,439,0.014000000,7071.429,185357.143
0,63,88,0.088000,11438,450,0.014000000,7071.429,184357.143
0,64,89,0.089000,11771,461,0.014000000,7071.429,182428.571
0,65,91,0.091000,12122,472,0.014000000,7071.429,185571.429
0,66,93,0.093000,12400,483,0.015000000,6600.000,174000.000
0,67,94,0.094000,12618,494,0.014000000,7071.429,187071.429
0,68,95,0.095000,12618,500,0.014000000,7142.857,187071.429
0,69,96,0.096000,12921,505,0.013000000,6769.231,173000.000
0,70,97,0.097000,13234,516,0.012000000,7333.333,189416.667
0,71,99,0.099000,13513,527,0.013000000,6769.231,178538.462
0,72,101,0.101000,13761,538,0.013000000,6769.231,178692.308
0,73,102,0.102000,14051,549,0.013000000,6769.231,175384.615
0,74,104,0.104000,14347,560,0.013000000,6769.231,171153.846
0,75,106,0.106000,14638,572,0.013000000,6846.154,172153.846
0,76,107,0.107000,14900,583,0.013000000,6846.154,175538.462
0,77,109,0.109000,15168,594,0.014000000,6714.286,182142.857
0,78,110,0.110000,15168,600,0.014000000,6785.714,160500.000
0,80,112,0.112000,15741,616,0.015000000,6666.667,167133.333
0,81,114,0.114000,15992,628,0.015000000,6733.333,165266.667
0,82,115,0.115000,16283,639,0.014000000,7214.286,180142.857
0,83,117,0.117000,16591,650,0.015000000,6733.333,169333.333
0,84,118,0.118000,16873,661,0.014000000,7214.286,180428.571
0,85,120,0.120000,17123,672,0.014000000,7142.857,177500.000
0,86,122,0.122000,17379,683,0.015000000,6666.667,165266.667
0,87,123,0.123000,17664,694,0.014000000,7142.857,178285.714
0,88,124,0.124000,17664,700,0.014000000,7142.857,178285.714
0,89,125,0.125000,18006,706,0.013000000,6923.077,174230.769
