axis,id,time_ms,time_s,encoder,pulses,delta_t_s,vel_cmd_sps,vel_enc_sps
1,11,13,0.013000,7,21,0.013000000,1538.462,307.692
1,12,14,0.014000,7,25,0.013000000,1769.231,76.923
1,13,16,0.016000,7,29,0.013000000,2000.000,-76.923
1,14,17,0.017000,7,33,0.013000000,2153.846,0.000
1,15,19,0.019000,7,38,0.013000000,2384.615,76.923
1,16,20,0.020000,7,43,0.013000000,2615.385,153.846
1,17,22,0.022000,7,48,0.014000000,2571.429,71.429
1,18,23,0.023000,7,53,0.013000000,2923.077,0.000
1,19,25,0.025000,8,59,0.014000000,2928.571,71.429
1,20,26,0.026000,8,65,0.013000000,3384.615,76.923
1,21,28,0.028000,9,71,0.014000000,3285.714,142.857
1,22,29,0.029000,9,77,0.013000000,3692.308,153.846
1,23,31,0.031000,9,84,0.014000000,3642.857,142.857
1,24,32,0.032000,9,91,0.013000000,4076.923,153.846
1,27,36,0.036000,10,106,0.016000000,3937.500,187.500
1,28,37,0.037000,11,114,0.015000000,4400.000,266.667
1,29,39,0.039000,11,123,0.016000000,4375.000,250.000
1,30,40,0.040000,11,131,0.015000000,4800.000,200.000
1,31,42,0.042000,11,140,0.016000000,4687.500,187.500
1,32,44,0.044000,12,149,0.016000000,4875.000,187.500
1,33,45,0.045000,13,159,0.016000000,5125.000,250.000
1,34,47,0.047000,13,168,0.016000000,5250.000,250.000
1,35,48,0.048000,13,178,0.016000000,5437.500,250.000
1,36,50,0.050000,13,188,0.014000000,5857.143,214.286
1,39,53,0.053000,15,210,0.016000000,6000.000,250.000
1,40,55,0.055000,15,221,0.016000000,6125.000,250.000
1,41,56,0.056000,15,232,0.016000000,6312.500,250.000
1,42,58,0.058000,17,243,0.016000000,6437.500,375.000
1,43,60,0.060000,17,254,0.016000000,6562.500,312.500
1,44,61,0.061000,18,265,0.016000000,6625.000,312.500
1,45,63,0.063000,19,276,0.016000000,6750.000,375.000
1,46,64,0.064000,19,287,0.016000000,6812.500,375.000
1,49,68,0.068000,21,309,0.018000000,6722.222,444.444
1,50,69,0.069000,21,320,0.016000000,6875.000,375.000
