axis,id,time_ms,time_s,encoder,pulses,delta_t_s,vel_cmd_sps,vel_enc_sps
2,11,14,0.014000,508,23,0.014000000,1571.429,35928.571
2,12,16,0.016000,600,27,0.015000000,1666.667,39133.333
2,13,17,0.017000,709,31,0.014000000,2000.000,49428.571
2,14,19,0.019000,831,36,0.015000000,2066.667,50133.333
2,15,20,0.020000,947,41,0.014000000,2428.571,57428.571
2,16,22,0.022000,1073,46,0.015000000,2400.000,58466.667
2,17,24,0.024000,1218,52,0.015000000,2666.667,64466.667
2,18,25,0.025000,1362,58,0.014000000,3071.429,74142.857
2,19,27,0.027000,1515,64,0.015000000,3000.000,73066.667
2,20,29,0.029000,1677,70,0.015000000,3133.333,77933.333
2,21,31,0.031000,1844,77,0.015000000,3333.333,82933.333
2,22,32,0.032000,2020,85,0.015000000,3600.000,87400.000
2,23,34,0.034000,2201,92,0.015000000,3733.333,91333.333
2,24,36,0.036000,2201,100,0.016000000,3687.500,78375.000
2,26,37,0.037000,2595,108,0.015000000,4133.333,101466.667
2,27,39,0.039000,2778,117,0.015000000,4333.333,104000.000
2,28,41,0.041000,3004,126,0.016000000,4250.000,102625.000
2,29,43,0.043000,3253,135,0.016000000,4437.500,108625.000
2,30,44,0.044000,3468,144,0.015000000,4933.333,119400.000
2,31,46,0.046000,3679,154,0.015000000,5133.333,122333.333
2,32,48,0.048000,3934,164,0.016000000,4937.500,119625.000
2,33,50,0.050000,4204,174,0.016000000,5125.000,125187.500
2,34,52,0.052000,4450,185,0.016000000,5312.500,140562.500
2,37,55,0.055000,4990,207,0.018000000,5500.000,133055.556
2,38,57,0.057000,5243,219,0.018000000,5666.667,136944.444
2,39,59,0.059000,5525,231,0.018000000,5833.333,140055.556
2,40,61,0.061000,5833,243,0.018000000,6000.000,143333.333
2,41,62,0.062000,6128,255,0.018000000,6166.667,147777.778
2,42,64,0.064000,6405,267,0.018000000,6277.778,151444.444
2,43,66,0.066000,6692,279,0.018000000,6388.889,153222.222
2,44,68,0.068000,6995,291,0.018000000,6500.000,155055.556
2,45,69,0.069000,6995,300,0.017000000,6764.706,149705.882
2,47,71,0.071000,7551,316,0.016000000,6812.500,160062.500
2,48,73,0.073000,7824,328,0.016000000,6812.500,161312.500
2,49,75,0.075000,8161,340,0.016000000,6812.500,164750.000
2,50,76,0.076000,8466,352,0.015000000,7266.667,175533.333
2,51,78,0.078000,8715,364,0.016000000,6812.500,161687.500
2,52,80,0.080000,8989,377,0.016000000,6875.000,161500.000
2,53,82,0.082000,9310,389,0.016000000,6875.000,163625.000
2,54,83,0.083000,9310,400,0.015000000,7266.667,154333.333
2,55,84,0.084000,9641,401,0.015000000,6733.333,176400.000
2,56,85,0.085000,9871,413,0.014000000,6928.571,165714.286
2,57,87,0.087000,10134,426,0.014000000,7000.000,165000.000
2,58,89,0.089000,10480,438,0.014000000,7000.000,165642.857
2,59,91,0.091000,10781,450,0.015000000,6533.333,154333.333
2,60,92,0.092000,11044,463,0.014000000,7071.429,166357.143
2,61,94,0.094000,11329,475,0.014000000,7000.000,167142.857
2,62,96,0.096000,11652,487,0.014000000,7000.000,167285.714
2,64,98,0.098000,11940,500,0.015000000,6666.667,175333.333
2,65,100,0.100000,12218,512,0.016000000,6937.500,161062.500
2,66,101,0.101000,12488,524,0.016000000,6937.500,163562.500
2,67,103,0.103000,12835,537,0.016000000,6937.500,168812.500
2,68,105,0.105000,13151,549,0.016000000,6937.500,166937.500
2,69,107,0.107000,13418,562,0.016000000,7000.000,164812.500
2,70,109,0.109000,13705,574,0.017000000,6529.412,156529.412
2,71,110,0.110000,14034,587,0.016000000,7000.000,169062.500
2,73,112,0.112000,14330,600,0.016000000,7062.500,167375.000
2,74,114,0.114000,14624,612,0.016000000,7000.000,167750.000
2,75,116,0.116000,14894,625,0.016000000,7062.500,167250.000
2,76,118,0.118000,15246,637,0.017000000,6647.059,162235.294
2,77,120,0.120000,15563,650,0.017000000,6647.059,160470.588
2,78,121,0.121000,15839,662,0.016000000,7062.500,168000.000
2,79,123,0.123000,16127,675,0.016000000,7062.500,169312.500
2,80,125,0.125000,16463,687,0.016000000,7062.500,172375.000
2,82,127,0.127000,16762,700,0.017000000,6647.059,160470.588
2,83,129,0.129000,17062,712,0.017000000,6588.235,160705.882
2,84,130,0.130000,17341,725,0.016000000,7062.500,169812.500
2,85,132,0.132000,17697,737,0.016000000,7000.000,175187.500
2,86,134,0.134000,18022,750,0.016000000,7062.500,173500.000
2,87,136,0.136000,18300,762,0.016000000,7000.000,171062.500
2,88,138,0.138000,18598,775,0.017000000,6647.059,162294.118
2,89,139,0.139000,18941,787,0.016000000,7000.000,175875.000
2,90,141,0.141000,19243,800,0.016000000,7062.500,173750.000
2,92,143,0.143000,19549,812,0.016000000,7000.000,174187.500
2,93,145,0.145000,19835,825,0.016000000,7062.500,173312.500
2,94,147,0.147000,20200,837,0.017000000,6588.235,168176.471
