t_s,dda_pos_x,dda_pos_y,dda_pos_z,enc_rel_x,enc_rel_y,enc_rel_z,vel_sps_x,vel_sps_y,vel_sps_z,err_steps_x,err_steps_y,err_steps_z,active_load_x,active_load_y,active_load_z,load_timer_x,load_timer_y,load_timer_z,span_steps,global_stop
1.0,7728.0,6172.0,4639.0,7722.5,6167.5,4635.5,6000.0,5000.0,4000.0,-12.625,0.5,-9.375,700.0,900.0,0.0,0.6510000000000005,0.10100000000000008,0.0,3089.0,0
1.0010000000000001,7734.0,6178.0,4643.0,7728.5,6172.5,4639.5,6000.0,6000.0,4000.0,-12.375,0.5,-9.625,700.0,900.0,0.0,0.6520000000000005,0.10200000000000008,0.0,3091.0,0
1.002,7741.0,6183.0,4647.0,7734.5,6178.5,4643.5,7000.0,5000.0,4000.0,-10.875,0.5,-9.125,700.0,900.0,0.0,0.6530000000000005,0.10300000000000008,0.0,3094.0,0
1.0030000000000001,7747.0,6188.0,4651.0,7741.5,6183.5,4647.5,6000.0,5000.0,4000.0,-11.625,0.5,-9.375,700.0,900.0,0.0,0.6540000000000005,0.10400000000000008,0.0,3096.0,0
1.004,7753.0,6193.0,4655.0,7747.5,6188.5,4651.5,6000.0,5000.0,4000.0,-11.375,0.5,-9.625,700.0,900.0,0.0,0.6550000000000005,0.10500000000000008,0.0,3098.0,0
1.0050000000000001,7760.0,6199.0,4659.0,7753.5,6193.5,4655.5,7000.0,6000.0,4000.0,-11.125,0.5,-9.875,700.0,900.0,0.0,0.6560000000000005,0.10600000000000008,0.0,3101.0,0
1.006,7766.0,6204.0,4663.0,7760.5,6199.5,4659.5,6000.0,5000.0,4000.0,-10.625,0.5,-9.375,700.0,900.0,0.0,0.6570000000000005,0.10700000000000008,0.0,3103.0,0
1.0070000000000001,7773.0,6209.0,4667.0,7766.5,6204.5,4663.5,7000.0,5000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.6580000000000005,0.10800000000000008,0.0,3106.0,0
1.008,7779.0,6214.0,4671.0,7773.5,6209.5,4667.5,6000.0,5000.0,4000.0,-11.125,0.5,-9.875,700.0,900.0,0.0,0.6590000000000005,0.10900000000000008,0.0,3108.0,0
1.0090000000000001,7785.0,6220.0,4675.0,7779.5,6214.5,4671.5,6000.0,6000.0,4000.0,-10.875,0.5,-10.125,700.0,900.0,0.0,0.6600000000000005,0.11000000000000008,0.0,3110.0,0
1.01,7792.0,6225.0,4679.0,7785.5,6220.5,4675.5,7000.0,5000.0,4000.0,-9.375,0.5,-9.625,700.0,900.0,0.0,0.6610000000000005,0.11100000000000008,0.0,3113.0,0
1.0110000000000001,7798.0,6230.0,4682.0,7792.5,6225.5,4679.5,6000.0,5000.0,3000.0,-10.125,0.5,-9.875,700.0,900.0,0.0,0.6620000000000005,0.11200000000000009,0.0,3116.0,0
1.012,7805.0,6235.0,4686.0,7798.5,6230.5,4682.5,7000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.6630000000000005,0.11300000000000009,0.0,3119.0,0
1.0130000000000001,7811.0,6241.0,4690.0,7805.5,6235.5,4686.5,6000.0,6000.0,4000.0,-10.625,0.5,-9.375,700.0,900.0,0.0,0.6640000000000005,0.11400000000000009,0.0,3121.0,0
1.014,7818.0,6246.0,4694.0,7811.5,6241.5,4690.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.6650000000000005,0.11500000000000009,0.0,3124.0,0
1.0150000000000001,7824.0,6251.0,4698.0,7818.5,6246.5,4694.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.6660000000000005,0.11600000000000009,0.0,3126.0,0
1.016,7831.0,6256.0,4702.0,7824.5,6251.5,4698.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.6670000000000005,0.11700000000000009,0.0,3129.0,0
1.0170000000000001,7838.0,6262.0,4706.0,7831.5,6256.5,4702.5,7000.0,6000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.6680000000000005,0.11800000000000009,0.0,3132.0,0
1.018,7844.0,6267.0,4710.0,7838.5,6262.5,4706.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.6690000000000005,0.11900000000000009,0.0,3134.0,0
1.0190000000000001,7851.0,6272.0,4714.0,7844.5,6267.5,4710.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.6700000000000005,0.12000000000000009,0.0,3137.0,0
1.02,7858.0,6277.0,4718.0,7851.5,6272.5,4714.5,7000.0,5000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.6710000000000005,0.1210000000000001,0.0,3140.0,0
1.0210000000000001,7864.0,6283.0,4722.0,7858.5,6277.5,4718.5,6000.0,6000.0,4000.0,-11.125,0.5,-9.875,700.0,900.0,0.0,0.6720000000000005,0.1220000000000001,0.0,3142.0,0
1.022,7871.0,6288.0,4726.0,7864.5,6283.5,4722.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.6730000000000005,0.1230000000000001,0.0,3145.0,0
1.0230000000000001,7877.0,6293.0,4730.0,7871.5,6288.5,4726.5,6000.0,5000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.6740000000000005,0.1240000000000001,0.0,3147.0,0
1.024,7883.0,6298.0,4734.0,7877.5,6293.5,4730.5,6000.0,5000.0,4000.0,-10.125,0.5,-9.875,700.0,900.0,0.0,0.6750000000000005,0.12500000000000008,0.0,3149.0,0
