t_s,dda_pos_x,dda_pos_y,dda_pos_z,enc_rel_x,enc_rel_y,enc_rel_z,vel_sps_x,vel_sps_y,vel_sps_z,err_steps_x,err_steps_y,err_steps_z,active_load_x,active_load_y,active_load_z,load_timer_x,load_timer_y,load_timer_z,span_steps,global_stop
0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.001,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.002,1.0,1.0,1.0,0.5,0.5,0.5,1000.0,1000.0,1000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.003,2.0,2.0,2.0,1.5,1.5,1.5,1000.0,1000.0,1000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.004,3.0,3.0,3.0,2.5,2.5,2.5,1000.0,1000.0,1000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.005,4.0,4.0,4.0,3.5,3.5,3.5,1000.0,1000.0,1000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.006,5.0,5.0,5.0,4.5,4.5,4.5,1000.0,1000.0,1000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.007,7.0,7.0,7.0,5.5,5.5,5.5,2000.0,2000.0,2000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.008,9.0,9.0,9.0,7.5,7.5,7.5,2000.0,2000.0,2000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.009000000000000001,11.0,11.0,11.0,9.5,9.5,9.5,2000.0,2000.0,2000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,13.0,13.0,13.0,11.5,11.5,11.5,2000.0,2000.0,2000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.011,15.0,15.0,15.0,13.5,13.5,13.5,2000.0,2000.0,2000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.012,18.0,18.0,18.0,15.5,15.5,15.5,3000.0,3000.0,3000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.013000000000000001,21.0,21.0,21.0,18.5,18.5,18.5,3000.0,3000.0,3000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.014,24.0,24.0,24.0,21.5,21.5,21.5,3000.0,3000.0,3000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.015,27.0,27.0,27.0,24.5,24.5,24.5,3000.0,3000.0,3000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.016,30.0,30.0,30.0,27.5,27.5,27.5,3000.0,3000.0,3000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.017,34.0,34.0,34.0,30.5,30.5,30.5,4000.0,4000.0,4000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.018000000000000002,38.0,38.0,38.0,34.5,34.5,34.5,4000.0,4000.0,4000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.019,42.0,42.0,42.0,38.5,38.5,38.5,4000.0,4000.0,4000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.02,46.0,46.0,46.0,42.5,42.5,42.5,4000.0,4000.0,4000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.021,50.0,50.0,50.0,46.5,46.5,46.5,4000.0,4000.0,4000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.022,55.0,55.0,55.0,50.5,50.5,50.5,5000.0,5000.0,5000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.023,60.0,60.0,60.0,55.5,55.5,55.5,5000.0,5000.0,5000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.024,65.0,65.0,65.0,60.5,60.5,60.5,5000.0,5000.0,5000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.025,70.0,70.0,70.0,65.5,65.5,65.5,5000.0,5000.0,5000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.026000000000000002,75.0,75.0,75.0,70.5,70.5,70.5,5000.0,5000.0,5000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.027,81.0,81.0,81.0,75.5,75.5,75.5,6000.0,6000.0,6000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.028,87.0,87.0,87.0,81.5,81.5,81.5,6000.0,6000.0,6000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.029,93.0,93.0,93.0,87.5,87.5,87.5,6000.0,6000.0,6000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.03,99.0,99.0,99.0,93.5,93.5,93.5,6000.0,6000.0,6000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.031,105.0,105.0,105.0,99.5,99.5,99.5,6000.0,6000.0,6000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.032,112.0,112.0,112.0,105.5,105.5,105.5,7000.0,7000.0,7000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.033,119.0,119.0,119.0,112.5,112.5,112.5,7000.0,7000.0,7000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.034,126.0,126.0,126.0,119.5,119.5,119.5,7000.0,7000.0,7000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.035,133.0,133.0,133.0,126.5,126.5,126.5,7000.0,7000.0,7000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.036000000000000004,140.0,140.0,140.0,133.5,133.5,133.5,7000.0,7000.0,7000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.037,148.0,148.0,148.0,140.5,140.5,140.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.038,156.0,156.0,156.0,148.5,148.5,148.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.039,164.0,164.0,164.0,156.5,156.5,156.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,172.0,172.0,172.0,164.5,164.5,164.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.041,180.0,180.0,180.0,172.5,172.5,172.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.042,188.0,188.0,188.0,180.5,180.5,180.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.043000000000000003,196.0,196.0,196.0,188.5,188.5,188.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.044,204.0,204.0,204.0,196.5,196.5,196.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.045,212.0,212.0,212.0,204.5,204.5,204.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.046,220.0,220.0,220.0,212.5,212.5,212.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.047,228.0,228.0,228.0,220.5,220.5,220.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.048,236.0,236.0,236.0,228.5,228.5,228.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.049,244.0,244.0,244.0,236.5,236.5,236.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.05,252.0,252.0,252.0,244.5,244.5,244.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.051000000000000004,260.0,260.0,260.0,252.5,252.5,252.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.052000000000000005,268.0,268.0,268.0,260.5,260.5,260.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.053,276.0,276.0,276.0,268.5,268.5,268.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.054,284.0,284.0,284.0,276.5,276.5,276.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.055,292.0,292.0,292.0,284.5,284.5,284.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.056,300.0,300.0,300.0,292.5,292.5,292.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.057,308.0,308.0,308.0,300.5,300.5,300.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.058,316.0,316.0,316.0,308.5,308.5,308.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.059000000000000004,324.0,324.0,324.0,316.5,316.5,316.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.06,332.0,332.0,332.0,324.5,324.5,324.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.061,340.0,340.0,340.0,332.5,332.5,332.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.062,348.0,348.0,348.0,340.5,340.5,340.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.063,356.0,356.0,356.0,348.5,348.5,348.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.064,364.0,364.0,364.0,356.5,356.5,356.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.065,372.0,372.0,372.0,364.5,364.5,364.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.066,380.0,380.0,380.0,372.5,372.5,372.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.067,388.0,388.0,388.0,380.5,380.5,380.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.068,396.0,396.0,396.0,388.5,388.5,388.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.069,404.0,404.0,404.0,396.5,396.5,396.5,8000.0,8000.0,8000.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
