OG:service=safety,state=init,status=normal
LOG:service=home,state=init,status=ok
LOG:service=probe,state=init,status=ok
LOG:service=motion,state=init,status=timers_ready
[FLOW queue_add ok id=2 dir=0x07 V=(0,0,8) S=(0,0,12900) depth=1]
LOG:service=motion,state=queue_add,status=frame=2 dirMask=0x07 queue=1
[FLOW start_move request depth=1 active=0 ids=(2) ]
[FLOW begin_segment id=2 dirMask=0x07 V(x,y,z)=(0,0,8) S(x,y,z)=(0,0,12900) ]
[FLOW pop_next id=2 remaining=0]\r\n
2,1,0,-1,1
2,2,0,-1,1
2,3,1,-13,2
2,4,3,-30,3
2,5,4,-42,5
2,6,6,-50,7
2,7,8,-64,10
2,8,9,-83,12
2,9,11,-101,15
2,10,12,-116,19
2,11,14,-143,23
2,12,16,-180,27
2,13,17,-201,31
2,14,19,-209,36
2,15,20,-245,41
2,16,22,-297,46
2,17,24,-326,51
2,18,25,-346,57
2,19,27,-385,64
2,20,29,-426,70
2,21,30,-468,77
2,22,32,-513,84
2,23,34,-562,91
2,2,25,36,-608,100
24,36,-608,99
2,26,37,-649,107
2,27,39,-700,116
2,28,41,-761,124
2,29,42,-809,133
2,30,44,-856,143
2,31,46,-926,152
2,32,48,-997,162
2,33,49,-1046,172
2,34,51,-1103,183
2,35,53,-1180,194
2,36,54,-1180,200
2,37,55,-1253,205
2,38,57,-1310,217
2,39,58,-1391,229
2,40,60,-1474,241
2,41,62,-1542,253
2,42,64,-1603,265
2,43,65,-1681,277
2,44,67,-1774,289
2,45,69,-1774,300
2,46,69,-1851,302
2,47,71,-1903,314
2,48,73,-1977,326
2,49,74,-2066,338
2,50,76,-2147,350
2,51,78,-2208,363
2,52,80,-2278,375
2,53,81,-2364,387
22,55,83,-2436,400
,54,83,-2436,399
2,56,85,-2511,411
2,57,87,-2583,424
2,58,88,-2661,436
2,59,90,-2740,448
2,60,92,-2803,460
2,61,94,-2880,472
2,62,95,-2970,484
2,63,97,-302,64,98,-3042,500

2,497
2,65,99,-3110,509
2,66,101,-3175,521
2,67,103,-3260,533
2,68,104,-3354,546
2,69,106,-3421,558
2,70,108,-3485,570
2,71,110,-3567,583
2,72,111,-3648,595
2,73,112,-3648,600

2,74,113,-3735,608
2,75,115,-3795,620
2,76,117,-3873,632
2,77,119,-3960,645
2,78,120,-4031,657
2,79,122,-4105,669
2,80,124,-4191,682
2,81,126,-4267,694
2,82,127,-4267,700
2,83,128,-4343,706
2,84,129,-4403,719
2,85,131,-4495,731
2,86,133,-4587,743
2,87,135,-4650,756
2,88,137,-4717,768
2,89,138,-4800,780
2,90,140,-4888,793
2,91,141,-4888,800
2,92,142,-4972,805
2,93,144,-5026,818
2,94,146,-5111,830
2,95,147,-5198,842
2,96,149,-5270,854
2,97,151,-5347,867
2,98,153,-5428,879
2,99,154,-5508,891
2,100,156,-5508,900
2,101,156,-5585,904
2,102,158,-5651,917
2,103,160,-5744,929
2,104,162,-5832,942
2,105,164,-5900,954
2,106,165,-5968,966
2,107,167,-6054,979
2,108,169,-6149,991
2,109,170,-6149,1000
2,110,171,-6230,1004
2,111,173,-6287,1017
2,112,174,-6370,1030
2,113,176,-6464,1042
2,114,178,-6549,1055
2,115,180,-6618,1067
2,116,182,-6698,1080
2,117,184,-6785,1093
2,118,185,-6785,1100
2,119,186,-6867,1106
2,120,187,-6941,1118
2,121,189,-7031,1131
2,122,191,-7114,1144
2,123,193,-7186,1156
2,124,195,-7260,1169
2,125,197,-7359,1182
2,126,198,-7445,1194
2,127,199,-7445,1200

2,128,200,-7515,1208
2,129,202,-7584,1220
2,130,204,-7677,1233
2,131,206,-7773,1245
2,132,208,-7846,1258
2,133,210,-7915,1271
2,134,211,-8004,1284
2,135,213,-802,136,214,-8088,1300

8,1296
2,137,215,-8177,1309
2,138,217,-8248,1322
2,139,219,-8332,1334
2,140,221,-8421,1347
2,141,222,-8494,1360
2,142,224,-8576,1373
2,143,226,-8669,1385
2,144,2,145,228,-8746,1400
228,-8746,1398
2,146,230,-8823,1411
2,147,232,-8893,1423
2,148,233,-8998,1436
2,149,235,-9090,1449
2,150,237,-9150,1461
2,151,239,-9230,1474
2,152,241,-9324,1487
2,153,243,-9412,1500
2,154,243,-9412,1500
2,155,245,-9485,1512
2,156,246,-9556,1525
2,157,248,-9658,1538
2,158,250,-9741,1550
2,159,252,-9810,1563
2,160,254,-9900,1576
2,161,256,-9989,1588
2,162,257,-9989,1600
2,163,257,-10075,1601
2,164,259,-10135,1614
2,165,261,-10228,1627
2,166,263,-10332,1640
2,167,265,-10405,1653
2,168,267,-10476,1665
2,169,269,-10567,1678
2,170,270,-10663,1691
2,171,272,-10663,1700
2,172,272,-10753,1704
2,173,274,-10812,1717
2,174,276,-10903,1730
2,175,278,-10999,1743
2,176,280,-11080,1756
2,177,282,-11158,1768
2,178,284,-11243,1781
2,179,285,-11334,1794
2,180,286,-11334,1800
2,181,287,-11415,1807
2,182,289,-11489,1820
2,183,291,-11590,1833
2,184,293,-11676,1846
2,185,295,-11748,1859
2,186,297,-11823,1871
2,187,298,-11926,1884
2,188,300,2,189,301,-12017,1900
-12017,1897
2,190,302,-12086,1910
2,191,304,-12161,1923
2,192,306,-12262,1936
2,193,308,-12357,1948
2,194,310,-12429,1961
2,195,311,-12505,1974
2,196,313,-12603,1987
2,197,315,-12603,2000
2,198,315,-12694,2000
2,199,317,-12768,2013
2,200,319,-12853,2026
2,201,321,-12944,2039
2,202,323,-13026,2052
2,203,325,-13098,2064
2,204,326,-13195,2077
2,205,328,-13291,2090
2,206,330,-13291,2100
2,207,330,-13372,2103
2,208,332,-13438,2116
2,209,334,-13524,2129
2,210,336,-13631,2142
2,211,338,-13712,2155
2,212,340,-13779,2167
2,213,341,-13869,2180
2,214,343,-13962,2193
2,215,344,-13962,2200
2,216,345,-14058,2206
2,217,347,-14122,2219
2,218,349,-14207,2232
2,219,351,-14305,2244
2,220,353,-14381,2257
2,221,354,-14462,2270
2,222,356,-14558,2283
2,223,358,-146422,224,359,-14642,2300
,2296
2,225,360,-14718,2309
2,226,362,-14787,2322
2,227,364,-14899,2335
2,228,366,-14994,2347
2,229,367,-15054,2360
2,230,369,-15134,2373
2,231,371,-15233,2386
2,2,233,373,-15327,2400

32,373,-15327,2399
2,234,375,-15397,2412
2,235,377,-15470,2424
2,236,379,-15574,2437
2,237,381,-15660,2450
2,238,382,-15736,2463
2,239,384,-15823,2476
2,240,386,-15913,2489
2,241,388,-15913,2500
2,242,388,-16000,2502
2,243,390,-16068,2515
2,244,392,-16162,2527
2,245,394,-16261,2540
2,246,395,-16334,2553
2,247,397,-16406,2566
2,248,399,-16497,2579
2,249,401,-16600,2592
2,250,402,-16600,2600
2,251,403,-16683,2605
2,252,405,-16745,2618
2,253,407,-16837,2631
2,254,409,-16932,2643
2,255,410,-17017,2656
2,256,412,-17089,2669
2,257,414,-17177,2682
2,258,416,-17265,26952,259,417,-17265,2700

2,260,418,-17347,2708
2,261,420,-17425,2721
2,262,422,-17521,2734
2,263,423,-17608,2746
2,264,425,-17677,2759
2,265,427,-17757,2772
2,266,429,-17864,2785
2,267,42,268,431,-17946,2800
31,-17946,2798
2,269,433,-18016,2811
2,270,435,-18091,2823
2,271,437,-18191,2836
2,272,438,-18287,2849
2,273,440,-18355,2862
2,274,442,-18434,2875
2,275,444,-18526,2888
2,276,446,-18526,2900
2,277,446,-18619,2901
2,278,448,-18695,2914
2,279,450,-18770,2926
2,280,451,-18865,2939
2,281,453,-18947,2952
2,282,455,-19020,2965
2,283,457,-19114,2978
2,284,459,-19205,2991
2,285,460,-19205,3000
2,286,461,-19290,3004
2,287,463,-19351,3017
2,288,465,-19439,3030
2,289,466,-19545,3042
2,290,468,-19620,3055
2,291,470,-19686,3068
2,292,472,-19775,3081
2,293,474,-19868,3094
2,294,475,-19868,3100
2,295,476,-19958,3107
2,296,478,-20016,3120
2,297,479,-20110,3132
2,298,481,-20205,3145
2,299,483,-20274,3158
2,300,485,-20357,3171
2,301,487,-20450,3184
2,302,489,-2,303,489,-20531,3200
20531,3197
2,304,491,-20601,3210
2,305,492,-20677,3222
2,306,494,-20787,3235
2,307,496,-20869,3248
2,308,498,-20932,3261
2,309,500,-21013,3274
2,310,502,-21108,3286
2,312,504,-21196,3300
2,311,504,-21196,3299
2,313,506,-21264,3313
2,314,507,-21341,3325
2,315,509,-21438,3338
2,316,511,-21518,3351
2,317,513,-21597,3364
2,318,515,-21679,3377
2,319,517,-21766,3389
2,320,518,-21766,3400
2,321,519,-21851,3403
2,322,520,-21918,3415
2,323,522,-22010,3428
2,324,524,-22100,3441
2,325,526,-22174,3454
2,326,528,-22242,3467
2,327,530,-22333,3480
2,328,532,-22428,3493
2,329,533,-22428,3500
2,330,534,-22504,3506
2,331,535,-22568,3518
2,332,537,-22658,3531
2,333,539,-22750,3544
2,334,541,-22829,3557
2,335,543,-22898,3570
2,336,545,-22989,3583
2,337,547,-23071,2,338,547,-23071,3600
3596
2,339,548,-23150,3609
2,340,550,-23226,3621
2,341,552,-23313,3634
2,342,554,-23399,3647
2,343,556,-23466,3660
2,344,558,-23548,3673
2,345,560,-23643,3685
2,32,347,562,-23718,3700

6,562,-23718,3698
2,348,563,-23793,3711
2,349,565,-23863,3724
2,350,567,-23959,3737
2,351,569,-24049,3750
2,352,571,-24113,3763
2,353,573,-24191,3776
2,354,575,-24279,3788
2,355,576,-24279,3800
2,356,576,-24373,3801
2,357,578,-24438,3814
2,358,580,-24509,3827
2,359,582,-24607,3840
2,360,584,-24685,3853
2,361,586,-24754,3866
2,362,588,-24842,3879
2,363,590,-24927,3892
2,364,591,-24927,3900
2,365,591,-25008,3905
2,366,593,-25065,3917
2,367,595,-25158,3930
2,368,597,-25256,3943
2,369,599,-25320,3956
2,370,601,-25389,3969
2,371,603,-25476,3982
2,372,604,-25566,39952,373,605,-25566,4000


2,374,606,-25643,4008
2,375,608,-25702,4020
2,376,610,-25797,4033
2,377,612,-25882,4046
2,378,614,-25952,4059
2,379,616,-26032,4072
2,380,617,-26115,4084
2,381,612,382,620,-26194,4100

,-26194,4097
2,383,621,-26265,4110
2,384,623,-26341,4123
2,385,625,-26437,4136
2,386,627,-26513,4149
2,387,629,-26579,4162
2,388,631,-26656,4175
2,389,632,-26750,4187
2,390,634,-26750,4200
2,391,634,-26839,4200
2,392,636,-26895,4213
2,393,638,-26971,4226
2,394,640,-27064,4239
2,395,642,-27147,4252
2,396,644,-27215,4265
2,397,646,-27289,4278
2,398,647,-27377,4290
2,399,649,-27377,4300
2,400,649,-27460,4304
2,401,651,-27527,4316
2,402,653,-27611,4329
2,403,655,-27694,4342
2,404,657,-27766,4355
2,405,659,-27834,4368
2,406,660,-27927,4381
2,407,662,-28012,4394
2,408,663,-28012,4400
2,409,664,-28081,4407
2,410,666,-28146,4420
2,411,668,-28233,4432
2,412,670,-28326,4445
2,413,672,-28394,4458
2,414,674,-28460,4471
2,415,675,-28546,4483
2,416,677,-22,417,678,-28627,4500

627,4496
2,418,679,-28710,4509
2,419,681,-28773,4522
2,420,683,-28855,4535
2,421,685,-28942,4548
2,422,687,-29010,4561
2,423,688,-29089,4574
2,424,690,-29177,4587
2,426,692,-29249,4600
2,425,692,-29249,4599
2,427,694,-29318,4612
2,428,696,-29391,4625
2,429,698,-29492,4638
2,430,700,-29570,4651
2,431,702,-29627,4664
2,432,703,-29705,4677
2,433,705,-29793,4690
2,434,707,-29793,4700
2,435,707,-29886,4703
2,436,709,-29938,4715
2,437,711,-30014,4728
2,438,713,-30107,4741
2,439,715,-30180,4754
2,440,716,-30253,4767
2,441,718,-30336,4780
2,442,720,-30415,4793
2,443,721,-30415,4800
2,444,722,-30489,4806
2,445,724,-30552,4819
2,446,726,-30647,4831
2,447,728,-30733,4844
2,448,730,-30792,4857
2,449,731,-30862,4870
2,450,733,-30949,4883
2,451,735,-31038,2,452,736,-31038,4900
4895
2,453,737,-31107,4909
2,454,739,-31167,4921
2,455,741,-31256,4934
2,456,743,-31340,4947
2,457,744,-31414,4960
2,458,746,-31484,4973
2,459,748,-31565,4986
2,462,461,750,-31642,5000

,750,-31642,4998
2,462,752,-31712,5011
2,463,754,-31790,5024
2,464,756,-31879,5037
2,465,757,-31951,5050
2,466,759,-32013,5062
2,467,761,-32091,5075
2,468,763,-32188,5088
2,469,765,-32188,5100
2,470,765,-32268,5101
2,471,767,-32320,5114
2,472,769,-32397,5127
2,473,771,-32489,5140
2,474,772,-32571,5153
2,475,774,-32633,5166
2,476,776,-32709,5178
2,477,778,-32792,5191
2,478,779,-32792,5200
2,479,780,-32871,5204
2,480,782,-32942,5217
2,481,784,-33021,5230
2,482,785,-33102,5243
2,483,787,-33168,5256
2,484,789,-33239,5269
2,485,791,-33333,5282
2,486,793,-33411,5294
2,487,794,-33411,5300
