LOG:service=safety,state=init,status=normal
LOG:service=home,state=init,status=ok
LOG:service=probe,state=init,status=ok
LOG:service=motion,state=init,status=timers_ready
[FLOW queue_add ok id=2 dir=0x07 V=(0,8,0) S=(0,13000,0) depth=1]
LOG:service=motion,state=queue_add,status=frame=2 dirMask=0x07 queue=1
[FLOW start_move request depth=1 active=0 ids=(2) ]
[FLOW begin_segment id=2 dirMask=0x07 V(x,y,z)=(0,8,0) S(x,y,z)=(0,13000,0) ]
[FLOW pop_next id=2 remaining=0]\r\n
1,1,0,1,1
1,2,0,1,1
1,3,1,2,2
1,4,3,4,3
1,5,4,6,5
1,6,6,6,7
1,7,7,8,9
1,8,8,10,12
1,9,10,13,15
1,10,11,16,18
1,11,13,20,21
1,12,14,22,25
1,13,16,24,29
1,14,17,27,34
1,15,19,32,38
1,16,20,36,43
1,17,22,39,48
1,18,24,40,54
1,19,25,44,60
1,20,27,52,66
1,21,28,60,72
1,22,30,64,78
1,23,31,68,85
1,24,33,74,92
1,25,34,74,100
1,26,34,81,100
1,27,36,86,108
1,28,38,90,116
1,29,39,94,124
1,30,41,102,132
1,31,42,113,141
1,32,44,122,151
1,33,46,127,160
1,34,47,132,170
1,35,49,141,180
1,36,51,149,191
1,37,52,149,200
1,38,52,159,201
1,39,54,167,212
1,40,55,176,224
1,41,57,186,235
1,42,59,193,246
1,43,60,200,257
1,44,62,209,268
1,45,64,220,279
1,46,65,231,291
1,47,67,231,300
1,48,67,240,302
1,49,68,242,313
1,50,70,250,324
1,51,72,262,335
1,52,73,276,347
1,53,75,284,358
1,54,77,288,369
1,55,78,293,380
1,56,80,304,391
1,57,81,304,400
1,58,81,319,403
1,59,83,328,414
1,60,85,334,425
1,61,86,340,436
1,62,88,348,447
1,63,90,359,459
1,64,91,370,470
1,65,93,378,481
1,66,94,386,492
1,67,96,386,500
1,68,96,394,504
1,69,98,400,515
1,70,99,410,526
1,71,101,422,537
1,72,103,432,548
1,73,104,440,560
1,74,106,444,571
1,75,107,452,582
1,76,109,464,593
1,77,110,464,600
1,78,111,478,605
1,79,112,485,616
1,80,114,489,628
1,81,116,496,639
1,82,117,508,650
1,83,119,520,661
1,84,121,530,673
1,85,122,536,684
1,86,124,542,696
1,87,125,542,700
1,88,126,551,707
1,89,127,562,718
1,90,129,572,729
1,91,130,582,741
1,92,132,590,752
1,93,134,595,764
1,94,135,604,775
1,95,137,615,786
1,96,139,1,97,139,626,800
626,797
1,98,140,636,809
1,99,142,640,820
1,100,144,646,831
1,101,145,658,843
1,102,147,671,854
1,103,149,681,866
1,104,150,687,877
1,105,152,692,889
1,106,154,692,900
1,107,154,704,901
1,108,155,715,912
1,109,157,724,924
1,110,159,732,935
1,111,160,740,947
1,112,162,748,958
1,113,164,758,969
1,114,165,768,981
1,115,167,778,992
1,116,168,778,1000
1,117,169,788,1004
1,118,170,793,1016
1,119,172,800,1027
1,120,174,812,1039
1,121,175,824,1051
1,122,177,834,1062
1,123,179,840,1074
1,124,180,846,1086
1,125,1821,126,183,856,1100

856,1097
1,127,184,870,1109
1,128,186,878,1121
1,129,187,886,1132
1,130,189,894,1144
1,131,191,903,1156
1,132,192,912,1167
1,133,194,922,1179
1,134,196,932,1191
1,135,197,932,1200
1,136,197,942,1202
1,137,199,948,1214
1,138,201,956,1226
1,139,202,966,1237
1,140,204,978,1249
1,141,206,988,1260
1,142,208,994,1272
1,143,209,1001,1284
1,144,211,1012,11,145,212,1012,1300

96
1,146,213,1025,1308
1,147,214,1033,1319
1,148,216,1040,1331
1,149,218,1048,1343
1,150,220,1059,1355
1,151,221,1069,1367
1,152,223,1078,1378
1,153,225,1088,1390
1,154,226,1088,1400
1,155,226,1097,1402
1,156,228,1104,1414
1,157,230,1113,1426
1,158,232,1124,1438
1,159,233,1136,1449
1,160,235,1144,1461
1,161,237,1150,1473
1,162,238,1158,1485
1,163,240,111,164,241,1170,1500
70,1497
1,165,242,1183,1508
1,166,244,1190,1520
1,167,245,1195,1532
1,168,247,1205,1544
1,169,249,1217,1556
1,170,250,1228,1567
1,171,252,1236,1579
1,172,254,1243,1591
1,173,255,1243,1600
1,174,256,1254,1603
1,175,257,1262,1615
1,176,259,1271,1627
1,177,261,1282,1639
1,178,262,1292,1651
1,179,264,1300,1662
1,180,266,1307,1674
1,181,268,1316,1686
1,182,21,183,270,1328,1700

9,1328,1698
1,184,271,1340,1710
1,185,273,1344,1721
1,186,274,1352,1733
1,187,276,1364,1745
1,188,278,1376,1757
1,189,280,1384,1769
1,190,281,1392,1780
1,191,283,1399,1792
1,192,284,1399,1800
1,193,285,1412,1804
1,194,286,1420,1816
1,195,288,1429,1828
1,196,290,1438,1840
1,197,292,1448,1852
1,198,293,1456,1863
1,199,295,1465,1875
1,200,297,1475,1887
1,1,202,299,1486,1900
201,298,1486,1899
1,203,300,1494,1911
1,204,302,1500,1923
1,205,304,1510,1934
1,206,305,1522,1946
1,207,307,1532,1958
1,208,309,1540,1970
1,209,310,1547,1982
1,210,312,1557,1993
1,211,313,1557,2000
1,212,314,1570,2005
1,213,316,1578,2017
1,214,317,1586,2029
1,215,319,1594,2041
1,216,321,1604,2053
1,217,322,1614,2064
1,218,324,1622,2076
1,219,326,1632,2088
1,220,328,1632,2100
1,221,328,1644,2100
1,222,329,1650,2112
1,223,331,1658,2124
1,224,333,1668,2135
1,225,334,1680,2147
1,226,336,1690,2159
1,227,338,1696,2171
1,228,340,1704,2183
1,229,341,1715,2194
1,230,342,1715,2200
1,231,343,1727,2206
1,232,345,1734,2218
1,233,346,1742,2230
1,234,348,1751,2242
1,235,350,1762,2254
1,236,352,1772,2266
1,237,353,1780,2277
1,238,355,1789,2289
1,239,357,1789,2300
1,240,357,1800,2301
1,241,358,1808,2313
1,242,360,1816,2325
1,243,362,1826,2337
1,244,364,1836,2348
1,245,365,1846,2360
1,246,367,1853,2372
1,247,369,1862,2384
1,248,370,1872,2391,249,371,1872,2400
6
1,250,372,1884,2407
1,251,374,1891,2419
1,252,376,1898,2431
1,253,377,1908,2443
1,254,379,1920,2454
1,255,381,1929,2466
1,256,382,1936,2478
1,257,384,1944,2490
1,258,386,1944,2500
1,259,386,1957,2502
1,260,388,1966,2514
1,261,389,1974,2526
1,262,391,1982,2537
1,263,393,1993,2549
1,264,394,2002,2561
1,265,396,2011,2573
1,266,398,2019,2585
1,267,400,2031,268,400,2030,2600
0,2596
1,269,401,2040,2609
1,270,403,2046,2620
1,271,405,2055,2632
1,272,406,2066,2644
1,273,408,2078,2656
1,274,410,2086,2668
1,275,412,2092,2679
1,276,413,2102,2691
1,277,415,2102,2700
1,278,415,2114,2703
1,279,417,2123,2715
1,280,418,2130,2727
1,281,420,2139,2739
1,282,422,2149,2750
1,283,424,2160,2762
1,284,425,2168,2774
1,285,427,2176,2786
1,286,41,287,429,2186,2800
29,2186,2797
1,288,430,2196,2809
1,289,432,2204,2821
1,290,434,2213,2833
1,291,436,2224,2845
1,292,437,2234,2857
1,293,439,2242,2869
1,294,441,2248,2880
1,295,442,2259,2892
1,296,444,2259,2900
1,297,444,2272,2904
1,298,446,2280,2916
1,299,448,2286,2928
1,300,449,2296,2940
1,301,451,2306,2952
1,302,453,2317,2963
1,303,454,2326,2975
1,304,456,2334,2987
1,1,306,458,2342,3000

05,458,2342,2999
1,307,460,2353,3011
1,308,461,2362,3022
1,309,463,2370,3034
1,310,465,2381,3046
1,311,466,2391,3058
1,312,468,2398,3070
1,313,470,2406,3081
1,314,472,2418,3093
1,315,473,2418,3100
1,316,473,2430,3105
1,317,475,2436,3117
1,318,477,2443,3129
1,319,479,2453,3141
1,320,480,2465,3153
1,321,482,2475,3164
1,322,484,2482,3176
1,323,485,2490,3188
1,324,487,2490,3200
1,325,487,2501,3200
1,326,489,2511,3212
1,327,491,2520,3224
1,328,492,2528,3236
1,329,494,2538,3247
1,330,496,2547,3259
1,331,497,2556,3271
1,332,499,2565,3283
1,333,501,2575,3295
1,334,502,2575,3300
1,335,503,2586,3307
1,336,504,2592,3318
1,337,506,2600,3330
1,338,508,2611,3342
1,339,509,2623,3354
1,340,511,2632,3366
1,341,513,2639,3377
1,342,515,2646,3389
1,343,516,2646,3400
1,344,516,2658,3401
1,345,518,2668,3413
1,346,520,2676,3425
1,347,521,2685,3437
1,348,523,2694,3448
1,349,525,2704,3460
1,350,527,2713,3472
1,351,528,2722,3484
1,352,530,2732,341,353,531,2732,3500
96
1,354,532,2742,3508
1,355,533,2748,3519
1,356,535,2758,3531
1,357,537,2769,3543
1,358,539,2780,3555
1,359,540,2788,3567
1,360,542,2795,3578
1,361,544,2804,3590
1,362,545,2804,3600
1,363,545,2817,3602
1,364,547,2826,3614
1,365,549,2834,3626
1,366,551,2842,3638
1,367,552,2852,3649
1,368,554,2862,3661
1,369,556,2870,3673
1,370,557,2880,3685
1,371,559,281,372,560,2890,3700
90,3696
1,373,561,2899,3708
1,374,563,2906,3720
1,375,564,2915,3732
1,376,566,2926,3744
1,377,568,2937,3756
1,378,569,2945,3767
1,379,571,2952,3779
1,380,573,2962,3791
1,381,574,2962,3800
1,382,575,2974,3803
1,383,576,2983,3815
1,384,578,2990,3827
1,385,580,2998,3839
1,386,581,3008,3851
1,387,583,3019,3862
1,388,585,3028,3874
1,389,587,3038,3886
1,390,51,391,589,3046,3900

8,3046,3898
1,392,590,3055,3910
1,393,592,3064,3921
1,394,593,3073,3933
1,395,595,3084,3945
1,396,597,3094,3957
1,397,599,3100,3969
1,398,600,3109,3980
1,399,602,3119,3992
1,400,603,3119,4000
1,401,604,3132,4004
1,402,605,3140,4016
1,403,607,3146,4028
1,404,609,3155,4040
1,405,611,3166,4051
1,406,612,3178,4063
1,407,614,3186,4075
1,408,616,3193,4087
1,1,410,618,3201,4100

09,617,3201,4099
1,411,619,3213,4111
1,412,621,3222,4123
1,413,623,3231,4134
1,414,624,3240,4146
1,415,626,3249,4158
1,416,628,3258,4170
1,417,629,3268,4181
1,418,631,3278,4193
1,419,632,3278,4200
1,420,633,3288,4205
1,421,635,3296,4217
1,422,636,3304,4229
1,423,638,3314,4241
1,424,640,3325,4253
1,425,641,3334,4264
1,426,643,3342,4276
1,427,645,3350,4288
1,428,647,3350,4300
1,429,647,3362,4300
1,430,648,3372,4312
1,431,650,3380,4324
1,432,652,3388,4336
1,433,653,3397,4347
1,434,655,3408,4359
1,435,657,3416,4371
1,436,659,3425,4383
1,437,660,3434,4394
1,438,661,3434,4400
1,439,662,3444,4406
1,440,664,3452,4418
1,441,665,3460,4430
1,442,667,3470,4442
1,443,669,3482,4454
1,444,671,3490,4466
1,445,672,3496,4477
1,446,674,3506,4489
1,447,676,3506,4500
1,448,676,3518,4501
1,449,677,3528,4513
1,450,679,3535,4525
1,451,681,3542,4537
1,452,683,3552,4548
1,453,684,3563,4560
1,454,686,3572,4572
1,455,688,3582,4584
1,456,689,3590,451,457,690,3590,4600
96
1,458,691,3600,4608
1,459,693,3608,4619
1,460,695,3618,4631
1,461,696,3628,4643
1,462,698,3638,4655
1,463,700,3646,4667
1,464,701,3654,4678
1,465,703,3664,4690
1,466,705,3664,4700
1,467,705,3676,4702
1,468,707,3684,4714
1,469,708,3692,4726
1,470,710,3700,4738
1,471,712,3710,4750
1,472,714,3721,4761
1,473,715,3731,4773
1,474,717,3739,4785
1,475,719,31,476,719,3747,4800

47,4797
1,477,720,3758,4809
1,478,722,3766,4821
1,479,724,3776,4832
1,480,726,3786,4844
1,481,727,3794,4856
1,482,729,3802,4868
1,483,731,3812,4880
1,484,732,3822,4891
1,485,734,3822,4900
1,486,734,3834,4903
1,487,736,3842,4915
1,488,738,3847,4927
1,489,739,3856,4939
1,490,741,3868,4951
1,491,743,3880,4962
1,492,744,3888,4974
1,493,746,3894,4986
1,494,1,495,748,3902,5000
748,3902,4998
1,496,750,3914,5010
1,497,751,3924,5022
1,498,753,3933,5033
1,499,755,3940,5045
1,500,756,3948,5057
1,501,758,3960,5069
1,502,760,3970,5081
1,503,762,3980,5093
1,504,763,3980,5100
1,505,763,3988,5105
1,506,765,3994,5117
1,507,767,4004,5128
1,508,768,4016,5140
1,509,770,4027,5152
1,510,772,4034,5164
1,511,774,4040,5175
1,512,775,4049,5187
11,514,777,4061,5200
,513,777,4061,5199
1,515,779,4073,5211
1,516,780,4080,5223
1,517,782,4086,5235
1,518,784,4096,5246
1,519,786,4107,5258
1,520,787,4118,5270
1,521,789,4126,5282
1,522,791,4134,5293
1,523,792,4134,5300
1,524,792,4142,5306
1,525,794,4152,5317
1,526,796,4163,5329
1,527,798,4173,5341
1,528,799,4182,5353
1,529,801,4189,5365
1,530,803,4197,5376
1,531,804,4208,5388
1,532,806,4208,5400
1,533,806,4221,5400
1,534,808,4229,5412
1,535,810,4235,5424
1,536,811,4242,5436
1,537,813,4254,5448
1,538,815,4267,5460
