0,0,-40017,1
1,0,5005,1
2,0,-40039,1
0,1,-40022,2
1,1,4999,1
2,0,-40034,1
0,2,-40031,3
1,2,5001,2
2,2,-40018,2
0,4,-40030,4
1,3,5002,4
2,3,-40046,3
0,5,-40032,6
1,5,5000,6
2,4,-40035,5
0,7,-40035,8
1,6,5002,8
2,6,-40020,7
0,8,-40035,10
1,7,5001,10
2,7,-40040,9
0,9,-40038,13
1,9,5001,12
2,8,-40039,12
0,11,-40045,16
1,10,5002,15
2,10,-40025,14
0,12,-40047,19
1,12,5002,18
2,11,-40031,17
0,14,-40047,22
1,13,5002,21
2,13,-40039,21
0,15,-40047,26
1,15,5003,25
2,14,-40034,24
0,16,-40048,30
1,16,5004,29
2,16,-40031,28
0,18,-40049,34
1,18,5004,33
2,17,-40035,32
0,19,-40049,39
1,19,5005,38
2,19,-40037,37
0,21,-40049,44
1,20,5005,43
2,20,-40036,41
0,22,-40049,49
1,22,5006,48
2,22,-40037,46
0,24,-40051,54
1,23,5007,53
2,23,-40037,52
0,25,-40053,60
1,25,5007,59
2,25,-40038,57
0,27,-40054,66
1,26,5007,65
2,26,-40039,63
0,28,-40053,72
1,28,5007,71
2,28,-40041,69
0,30,-40055,79
1,30,5007,77
2,29,-40043,76
0,31,-40057,86
1,31,5008,84
2,31,-40045,83
0,33,-40059,93
1,33,5009,91
2,32,-40048,90
0,34,-40059,100
0,35,-40063,101
1,34,5009,99
2,34,-40052,97
1,34,5009,100
2,34,-40052,100
0,36,-40067,109
1,36,5009,107
2,35,-40057,106
0,38,-40072,118
1,38,5011,116
2,37,-40063,114
0,40,-40079,126
1,39,5011,124
2,39,-40071,122
0,41,-40087,135
1,41,5012,133
2,40,-40078,131
0,43,-40094,145
1,42,5013,143
2,42,-40087,140
0,45,-40102,154
1,44,5014,152
2,44,-40093,150
0,46,-40109,164
1,46,5015,162
2,45,-40102,160
0,48,-40113,175
1,48,5015,173
2,47,-40106,170
0,50,-40118,186
1,49,5016,183
2,49,-40111,181
0,51,-40122,197
1,51,5016,194
2,51,-40115,192
0,52,-40122,200
1,52,5016,200
2,52,-40115,200
0,53,-40125,209
1,53,5017,206
2,52,-40119,204
0,55,-40126,220
1,55,5017,217
2,54,-40120,215
0,57,-40128,232
1,56,5017,229
2,56,-40122,226
0,58,-40129,242
1,58,5017,240
2,57,-40123,237
0,60,-40131,253
1,59,5017,251
2,59,-40124,248
0,61,-40132,264
1,61,5017,262
2,61,-40125,259
0,63,-40134,275
1,63,5018,273
2,62,-40126,270
0,65,-40135,286
1,64,5018,284
2,64,-40127,281
0,66,-40137,297
1,66,5019,295
2,65,-40128,292
0,66,-40137,300
1,67,5019,300
2,67,-40128,300
0,68,-40139,309
1,67,5019,307
2,67,-40131,304
0,69,-40142,320
1,69,5019,317
2,69,-40133,315
0,71,-40145,331
1,71,5019,329
2,70,-40135,326
0,73,-40149,342
1,72,5020,340
2,72,-40138,337
0,74,-40154,353
1,74,5021,351
2,73,-40143,348
0,76,-40160,364
1,75,5022,362
2,75,-40149,359
0,77,-40167,375
1,77,5023,373
2,77,-40157,370
0,79,-40176,386
1,79,5024,384
2,78,-40167,381
0,81,-40183,397
1,80,5025,395
2,80,-40177,392
0,81,-40183,400
1,81,5025,400
2,81,-40177,400
0,82,-40194,409
1,82,5026,407
2,82,-40190,404
0,84,-40202,420
1,84,5027,418
2,83,-40197,415
0,86,-40208,431
1,85,5027,429
2,85,-40203,426
0,87,-40215,442
1,87,5028,440
2,86,-40207,437
0,89,-40220,453
1,88,5029,451
2,88,-40211,448
0,90,-40223,464
1,90,5029,462
2,90,-40214,459
0,92,-40227,475
1,92,5029,473
2,91,-40216,470
0,94,-40229,486
1,93,5029,484
2,93,-40217,481
0,95,-40230,497
1,95,5030,495
2,94,-40219,492
0,95,-40230,500
1,96,5030,500
2,96,-40219,500
0,97,-40231,509
1,97,5030,507
2,96,-40220,504
0,98,-40232,520
1,98,5030,518
2,98,-40221,515
0,100,-40234,531
1,100,5031,528
2,99,-40222,526
0,102,-40234,542
1,101,5031,539
2,101,-40223,537
0,103,-40236,553
1,103,5031,550
2,102,-40224,547
0,105,-40238,564
1,104,5031,561
2,104,-40226,558
0,106,-40240,574
1,106,5031,571
2,106,-40228,568
0,108,-40242,585
1,107,5031,582
2,107,-40230,579
0,109,-40246,596
1,109,5032,593
2,109,-40233,590
0,110,-40246,600
1,110,5032,600
2,110,-40233,600
0,111,-40250,607
1,111,5033,604
2,110,-40238,602
0,113,-40255,618
1,112,5033,615
2,112,-40243,613
0,114,-40262,629
1,114,5035,627
2,113,-40251,624
0,116,-40269,640
1,116,5036,637
2,115,-40259,635
0,117,-40278,651
1,117,5037,648
2,117,-40269,646
0,119,-40287,662
1,119,5039,659
2,118,-40279,656
0,121,-40295,672
1,120,5039,670
2,120,-40287,667
0,122,-40303,683
1,122,5040,680
2,121,-40295,677
0,124,-40308,693
1,123,5041,691
2,123,-40299,688
0,124,-40308,700
1,125,5041,700
0,125,-40313,705
1,125,5041,703
2,125,-40305,700
2,124,-40305,700
0,127,-40317,716
1,127,5041,713
2,126,-40308,711
0,128,-40320,727
1,128,5042,724
2,128,-40309,722
0,130,-40323,738
1,130,5042,735
2,129,-40312,732
0,132,-40325,748
1,131,5043,746
2,131,-40313,743
0,133,-40328,760
1,133,5043,757
2,132,-40314,754
0,135,-40329,770
1,134,5043,767
2,134,-40315,765
0,136,-40331,781
1,136,5043,779
2,136,-40316,776
0,138,-40332,792
1,138,5043,790
2,137,-40317,787
0,139,-40332,800
1,139,5043,800
0,140,-40334,803
1,139,5043,801
2,139,-40319,798
2,139,-40319,800
0,141,-40336,815
1,141,5043,812
2,140,-40320,809
0,143,-40338,826
1,142,5044,823
2,142,-40322,820
0,144,-40340,837
1,144,5044,834
2,144,-40324,831
0,146,-40344,848
1,146,5045,845
2,145,-40327,842
0,148,-40348,859
1,147,5045,856
2,147,-40330,853
0,149,-40353,870
1,149,5046,867
2,148,-40335,864
0,151,-40360,881
1,150,5047,878
2,150,-40342,875
0,152,-40366,891
1,152,5048,889
2,152,-40350,886
0,153,-40366,900
1,154,5048,900
0,154,-40376,903
1,154,5049,900
2,153,-40363,898
2,154,-40363,900
0,156,-40385,915
1,155,5050,912
2,155,-40370,909
0,157,-40393,925
1,157,5051,922
2,156,-40382,920
0,159,-40399,936
1,158,5052,933
2,158,-40388,930
0,160,-40406,946
1,160,5053,943
2,159,-40394,941
0,162,-40412,957
1,161,5053,954
2,161,-40399,951
0,163,-40416,968
1,163,5054,965
2,163,-40401,962
0,165,-40422,979
1,165,5054,976
2,164,-40404,973
0,167,-40426,990
1,166,5055,987
2,166,-40406,984
0,168,-40426,1000
0,168,-40429,1001
1,168,5055,999
2,167,-40408,996
1,168,5055,1000
2,168,-40408,1000
0,170,-40431,1013
1,170,5055,1010
2,169,-40409,1008
0,172,-40433,1024
1,171,5055,1021
2,171,-40410,1019
0,173,-40434,1035
1,173,5055,1032
2,172,-40411,1029
0,175,-40435,1046
1,174,5055,1043
2,174,-40412,1040
0,176,-40436,1056
1,176,5056,1054
2,175,-40413,1051
0,178,-40438,1067
1,177,5056,1064
2,177,-40415,1062
0,179,-40439,1078
1,179,5057,1075
2,179,-40416,1073
0,181,-40441,1089
1,181,5057,1086
2,180,-40419,1084
0,182,-40441,1100
0,183,-40444,1100
1,182,5057,1097
2,182,-40422,1095
1,183,5057,1100
2,183,-40422,1100
0,184,-40447,1111
